context,model,control,baseline_risk,intervention_risk,risk_reduction_estimate,n_trajectories,folds,fold_seed,risk_reduction_truth,signed_error,absolute_error
bec_payment,CrossFittedFlexibleGFormula,oob_confirmation,0.4838087385730356,0.3706299432847413,0.1131787952882943,12000,5,260817,0.1081166666666666,0.005062128621627707,0.005062128621627707
bec_payment,CrossFittedFlexibleGFormula,dual_approval,0.4838087385730356,0.4015706628634202,0.0822380757096154,12000,5,260817,0.1014833333333333,-0.0192452576237179,0.0192452576237179
bec_payment,CrossFittedFlexibleGFormula,beneficiary_lock,0.4838087385730356,0.3757459192229209,0.1080628193501148,12000,5,260817,0.1034666666666666,0.004596152683448207,0.004596152683448207
bec_payment,CrossFittedFlexibleGFormula,payment_hold,0.4838087385730356,0.3990291095196552,0.0847796290533804,12000,5,260817,0.1040666666666666,-0.019287037613286193,0.019287037613286193
data_exfiltration,CrossFittedFlexibleGFormula,separation_of_duties,0.4890718499270585,0.4529194715021982,0.0361523784248603,12000,5,260817,0.0973,-0.0611476215751397,0.0611476215751397
data_exfiltration,CrossFittedFlexibleGFormula,dlp_enforcement,0.4890718499270585,0.1991515004822816,0.2899203494447769,12000,5,260817,0.2767333333333333,0.013187016111443628,0.013187016111443628
data_exfiltration,CrossFittedFlexibleGFormula,export_confirmation,0.4890718499270585,0.360004509715974,0.1290673402110845,12000,5,260817,0.1538,-0.02473265978891548,0.02473265978891548
data_exfiltration,CrossFittedFlexibleGFormula,egress_protection,0.4890718499270585,0.2787898786022453,0.2102819713248132,12000,5,260817,0.1603166666666666,0.04996530465814658,0.04996530465814658
helpdesk_identity,CrossFittedFlexibleGFormula,strong_verification,0.5569539419000632,0.3956662204731385,0.1612877214269247,12000,5,260817,0.12325,0.038037721426924714,0.038037721426924714
helpdesk_identity,CrossFittedFlexibleGFormula,mfa_enforcement,0.5569539419000632,0.209866001356487,0.3470879405435762,12000,5,260817,0.2724666666666667,0.07462127387690953,0.07462127387690953
helpdesk_identity,CrossFittedFlexibleGFormula,manager_callback,0.5569539419000632,0.4289361544599848,0.1280177874400783,12000,5,260817,0.0703333333333333,0.057684454106745,0.057684454106745
helpdesk_identity,CrossFittedFlexibleGFormula,session_risk_block,0.5569539419000632,0.4838403385661223,0.0731136033339409,12000,5,260817,0.13535,-0.062236396666059096,0.062236396666059096
it_ot_maintenance,CrossFittedFlexibleGFormula,change_validation,0.5132948631100691,0.4147498939558403,0.0985449691542287,12000,5,260817,0.1092166666666666,-0.010671697512437905,0.010671697512437905
it_ot_maintenance,CrossFittedFlexibleGFormula,jump_host_enforcement,0.5132948631100691,0.3347589194297987,0.1785359436802703,12000,5,260817,0.14775,0.030785943680270295,0.030785943680270295
it_ot_maintenance,CrossFittedFlexibleGFormula,signed_change_package,0.5132948631100691,0.4626469255415727,0.0506479375684963,12000,5,260817,0.1477333333333333,-0.09708539576483699,0.09708539576483699
it_ot_maintenance,CrossFittedFlexibleGFormula,command_allowlist,0.5132948631100691,0.3759324130592668,0.1373624500508022,12000,5,260817,0.1115166666666666,0.025845783384135596,0.025845783384135596
