context,regime,exact_matches,n_trajectories,observed_match_fraction,mean_estimated_regime_probability,median_estimated_regime_probability,min_estimated_regime_probability,max_estimated_regime_probability,expected_support_count
bec_payment,baseline,13,12000,0.0010833333333333333,0.0011927339876214005,0.00016422200388669362,3.5569863526747846e-06,0.007302828657324842,14.312807851456807
bec_payment,intervention:oob_confirmation,1,12000,8.333333333333333e-05,7.044575730148576e-05,5.873686468193257e-05,2.6712864796720604e-05,0.00012808412275744818,0.845349087617829
bec_payment,intervention:dual_approval,0,12000,0.0,7.914725883703496e-05,5.391933500038496e-05,1.2648753760924584e-05,0.00020937541933728157,0.9497671060444195
bec_payment,intervention:beneficiary_lock,1,12000,8.333333333333333e-05,4.1565716812402627e-05,2.3032880639194535e-05,3.6942784368398586e-06,0.00013390564745620947,0.4987886017488315
bec_payment,intervention:payment_hold,0,12000,0.0,1.7992094456008563e-05,9.91747344716912e-06,1.590539172615798e-06,5.8036501551612584e-05,0.21590513347210277
data_exfiltration,baseline,20,12000,0.0016666666666666668,0.0014828327793675316,0.001111072681783351,6.984707621380396e-06,0.006431347571932092,17.79399335241038
data_exfiltration,intervention:separation_of_duties,1,12000,8.333333333333333e-05,4.7487984773319186e-05,5.045414501137506e-05,1.570248559856413e-05,8.16016836300451e-05,0.5698558172798303
data_exfiltration,intervention:dlp_enforcement,2,12000,0.00016666666666666666,0.00012468314214247718,0.0001423971717489869,2.3099867898467158e-05,0.00026440835148198945,1.4961977057097262
data_exfiltration,intervention:export_confirmation,0,12000,0.0,4.95214398235475e-05,5.0489314047522976e-05,6.269686358349287e-06,0.00011777936673768402,0.59425727788257
data_exfiltration,intervention:egress_protection,0,12000,0.0,3.318388407761142e-05,3.726147435648963e-05,4.301225244055845e-06,7.856712687480158e-05,0.3982066089313371
helpdesk_identity,baseline,14,12000,0.0011666666666666668,0.001209447075546184,0.00016979478008305246,4.3744437145122245e-06,0.006156222196552906,14.513364906554209
helpdesk_identity,intervention:strong_verification,1,12000,8.333333333333333e-05,6.712510227546874e-05,5.4932482523924e-05,2.291853264013157e-05,0.00012039464476616666,0.8055012273056248
helpdesk_identity,intervention:mfa_enforcement,1,12000,8.333333333333333e-05,0.0001327516018801211,7.620475394961507e-05,1.584197951535532e-05,0.0003506864963752395,1.593019222561453
helpdesk_identity,intervention:manager_callback,2,12000,0.00016666666666666666,3.194734951762017e-05,1.9698226638263312e-05,4.720746983287729e-06,7.886194061564721e-05,0.3833681942114421
helpdesk_identity,intervention:session_risk_block,1,12000,8.333333333333333e-05,1.926949373528301e-05,1.0438319704002168e-05,1.8882013123948521e-06,5.396781014237476e-05,0.2312339248233961
it_ot_maintenance,baseline,27,12000,0.00225,0.0016481890420189404,0.0002850939788211414,9.019110248025649e-06,0.008293092585721551,19.778268504227285
it_ot_maintenance,intervention:change_validation,1,12000,8.333333333333333e-05,9.261698919637666e-05,8.367336545281872e-05,4.3534736962009024e-05,0.0001446346379422258,1.1114038703565199
it_ot_maintenance,intervention:jump_host_enforcement,0,12000,0.0,9.072803191099082e-05,6.133456196573774e-05,1.4300082222000159e-05,0.00022365838921488317,1.08873638293189
it_ot_maintenance,intervention:signed_change_package,0,12000,0.0,3.828198289393729e-05,2.5148062440406948e-05,5.866730978298755e-06,9.534232278089802e-05,0.4593837947272475
it_ot_maintenance,intervention:command_allowlist,0,12000,0.0,2.7757588870789325e-05,1.7723762538799075e-05,4.1642579836962575e-06,6.967326893551982e-05,0.3330910664494719
