model,operation,seconds,ru_maxrss_mb
DCHAG_full,fit,0.2656281409999792,208.84375
DCHAG_technical_only,fit,0.1885091219996866,209.80859375
DCHAG_no_human,fit,0.19918841800017617,209.81640625
DCHAG_no_process,fit,0.2135542810001425,209.81640625
DCHAG_no_temporal,fit,0.23606722399972568,209.8203125
ObservationalOutcome,fit,0.046823448999930406,209.8203125
SEAGInspiredRisk,fit,0.04559637200009092,209.8203125
QualitativeRiskMatrix,fit,0.03535680000004504,209.8203125
DCHAG_full,effect:change_validation,0.03666115199985143,209.8203125
DCHAG_full,effect:jump_host_enforcement,0.03524992799975735,209.8203125
DCHAG_full,effect:signed_change_package,0.03602232000002914,209.8203125
DCHAG_full,effect:command_allowlist,0.03582661700011158,209.8203125
DCHAG_technical_only,effect:change_validation,0.02236595700014732,209.8203125
DCHAG_technical_only,effect:jump_host_enforcement,0.025323980999928608,209.8203125
DCHAG_technical_only,effect:signed_change_package,0.024196716000005836,209.8203125
DCHAG_technical_only,effect:command_allowlist,0.02330457900006877,209.8203125
DCHAG_no_human,effect:change_validation,0.027978881999842997,209.8203125
DCHAG_no_human,effect:jump_host_enforcement,0.04204290999996374,209.8203125
DCHAG_no_human,effect:signed_change_package,0.029751595000107045,209.8203125
DCHAG_no_human,effect:command_allowlist,0.030183492000105616,209.8203125
DCHAG_no_process,effect:change_validation,0.032472756000061054,209.8203125
DCHAG_no_process,effect:jump_host_enforcement,0.03059822700015502,209.8203125
DCHAG_no_process,effect:signed_change_package,0.02926168099975257,209.8203125
DCHAG_no_process,effect:command_allowlist,0.029475880000063626,209.8203125
DCHAG_no_temporal,effect:change_validation,0.034922979999919335,209.8203125
DCHAG_no_temporal,effect:jump_host_enforcement,0.03536506000000372,209.8203125
DCHAG_no_temporal,effect:signed_change_package,0.044423186000130954,209.8203125
DCHAG_no_temporal,effect:command_allowlist,0.0364991819997158,209.8203125
DCHAG_full,risk_prediction,2.673064331000205,398.9609375
DCHAG_technical_only,risk_prediction,2.1787395110000034,398.9609375
DCHAG_no_human,risk_prediction,2.1763696530001653,398.9609375
DCHAG_no_process,risk_prediction,2.115361091000068,398.9609375
DCHAG_no_temporal,risk_prediction,2.160632347000046,399.3671875
