context,model,control,baseline_risk,intervention_risk,risk_reduction_estimate,n_trajectories,folds,mc_per_trajectory,fold_seed,simulation_seed_base,risk_reduction_truth,signed_error,absolute_error
bec_payment,CrossFittedDenseSequentialGFormula,oob_confirmation,0.5009541666666667,0.3871625,0.1137916666666666,12000,5,20,260817,811700,0.1081166666666666,0.0056749999999999995,0.0056749999999999995
bec_payment,CrossFittedDenseSequentialGFormula,dual_approval,0.5009541666666667,0.4008916666666667,0.1000624999999999,12000,5,20,260817,811700,0.1014833333333333,-0.001420833333333399,0.001420833333333399
bec_payment,CrossFittedDenseSequentialGFormula,beneficiary_lock,0.5009541666666667,0.3992166666666666,0.1017375,12000,5,20,260817,811700,0.1034666666666666,-0.0017291666666666011,0.0017291666666666011
bec_payment,CrossFittedDenseSequentialGFormula,payment_hold,0.5009541666666667,0.396775,0.1041791666666666,12000,5,20,260817,811700,0.1040666666666666,0.00011250000000000149,0.00011250000000000149
data_exfiltration,CrossFittedDenseSequentialGFormula,separation_of_duties,0.4951333333333333,0.4096958333333333,0.0854375,12000,5,20,260817,811700,0.0973,-0.011862499999999998,0.011862499999999998
data_exfiltration,CrossFittedDenseSequentialGFormula,dlp_enforcement,0.4951333333333333,0.2414208333333333,0.2537125,12000,5,20,260817,811700,0.2767333333333333,-0.023020833333333268,0.023020833333333268
data_exfiltration,CrossFittedDenseSequentialGFormula,export_confirmation,0.4951333333333333,0.3406,0.1545333333333333,12000,5,20,260817,811700,0.1538,0.0007333333333333081,0.0007333333333333081
data_exfiltration,CrossFittedDenseSequentialGFormula,egress_protection,0.4951333333333333,0.3508166666666666,0.1443166666666667,12000,5,20,260817,811700,0.1603166666666666,-0.015999999999999903,0.015999999999999903
helpdesk_identity,CrossFittedDenseSequentialGFormula,strong_verification,0.5374000000000001,0.4134583333333333,0.1239416666666666,12000,5,20,260817,811700,0.12325,0.0006916666666666044,0.0006916666666666044
helpdesk_identity,CrossFittedDenseSequentialGFormula,mfa_enforcement,0.5374000000000001,0.265925,0.2714749999999999,12000,5,20,260817,811700,0.2724666666666667,-0.0009916666666667795,0.0009916666666667795
helpdesk_identity,CrossFittedDenseSequentialGFormula,manager_callback,0.5374000000000001,0.4701583333333333,0.0672416666666666,12000,5,20,260817,811700,0.0703333333333333,-0.003091666666666701,0.003091666666666701
helpdesk_identity,CrossFittedDenseSequentialGFormula,session_risk_block,0.5374000000000001,0.4141958333333334,0.1232041666666666,12000,5,20,260817,811700,0.13535,-0.012145833333333397,0.012145833333333397
it_ot_maintenance,CrossFittedDenseSequentialGFormula,change_validation,0.5027083333333333,0.3959625,0.1067458333333333,12000,5,20,260817,811700,0.1092166666666666,-0.002470833333333297,0.002470833333333297
it_ot_maintenance,CrossFittedDenseSequentialGFormula,jump_host_enforcement,0.5027083333333333,0.361425,0.1412833333333333,12000,5,20,260817,811700,0.14775,-0.006466666666666704,0.006466666666666704
it_ot_maintenance,CrossFittedDenseSequentialGFormula,signed_change_package,0.5027083333333333,0.3653166666666667,0.1373916666666666,12000,5,20,260817,811700,0.1477333333333333,-0.010341666666666693,0.010341666666666693
it_ot_maintenance,CrossFittedDenseSequentialGFormula,command_allowlist,0.5027083333333333,0.3937291666666667,0.1089791666666666,12000,5,20,260817,811700,0.1115166666666666,-0.002537499999999998,0.002537499999999998
