context,model,brier,log_loss
bec_payment,DCHAG_full,0.22992445185185184,0.65232089889051
bec_payment,ObservationalOutcome,0.2289903771378955,0.6501752598391877
bec_payment,DCHAG_technical_only,0.2307733074074074,0.6541061265585971
bec_payment,DCHAG_no_human,0.23124655185185186,0.6553203802906998
bec_payment,DCHAG_no_process,0.23179070000000002,0.6563979055223669
bec_payment,DCHAG_no_temporal,0.2331964888888889,0.6604229678078104
bec_payment,SEAGInspiredRisk,0.23059410600013105,0.6536372513698017
bec_payment,QualitativeRiskMatrix,0.2310478669571977,0.654706732186955
data_exfiltration,DCHAG_full,0.19844444074074075,0.5834796855290748
data_exfiltration,ObservationalOutcome,0.19751883852003888,0.5809596176019275
data_exfiltration,DCHAG_technical_only,0.19742046666666666,0.5810032266278653
data_exfiltration,DCHAG_no_human,0.1968749111111111,0.5797613709969278
data_exfiltration,DCHAG_no_process,0.19738371481481481,0.5810571346691309
data_exfiltration,DCHAG_no_temporal,0.20224524814814815,0.5943731120657929
data_exfiltration,SEAGInspiredRisk,0.20232508601546373,0.5931235266959732
data_exfiltration,QualitativeRiskMatrix,0.2041268494376795,0.5977954779473373
helpdesk_identity,DCHAG_full,0.21774741111111112,0.6262415246184464
helpdesk_identity,ObservationalOutcome,0.21693441111492195,0.6243747619124177
helpdesk_identity,DCHAG_technical_only,0.2173153148148148,0.6252005278462085
helpdesk_identity,DCHAG_no_human,0.2175923814814815,0.6257467822651347
helpdesk_identity,DCHAG_no_process,0.2169937111111111,0.624536820756243
helpdesk_identity,DCHAG_no_temporal,0.2227887925925926,0.6397843672259828
helpdesk_identity,SEAGInspiredRisk,0.2204403939504193,0.6321755771833601
helpdesk_identity,QualitativeRiskMatrix,0.2233854744768861,0.6388621174013689
it_ot_maintenance,DCHAG_full,0.21700100370370373,0.6244286888969728
it_ot_maintenance,ObservationalOutcome,0.2169481765562972,0.6243873709911435
it_ot_maintenance,DCHAG_technical_only,0.2176488185185185,0.6260085854312377
it_ot_maintenance,DCHAG_no_human,0.21773344444444445,0.625955066250961
it_ot_maintenance,DCHAG_no_process,0.21656470740740744,0.6235245642877398
it_ot_maintenance,DCHAG_no_temporal,0.22042415925925926,0.6333048030674276
it_ot_maintenance,SEAGInspiredRisk,0.2191755741226733,0.6295632458930389
it_ot_maintenance,QualitativeRiskMatrix,0.22024060201866782,0.632117910159606
