context,model,control,ground_truth,estimate,signed_error,absolute_error
bec_payment,DCHAG_full,oob_confirmation,0.10811666666666667,0.10604,-0.002076666666666671,0.002076666666666671
bec_payment,DCHAG_full,dual_approval,0.10148333333333333,0.0978,-0.00368333333333333,0.00368333333333333
bec_payment,DCHAG_full,beneficiary_lock,0.10346666666666667,0.1038,0.00033333333333333826,0.00033333333333333826
bec_payment,DCHAG_full,payment_hold,0.10406666666666667,0.10234,-0.001726666666666668,0.001726666666666668
bec_payment,DCHAG_technical_only,oob_confirmation,0.10811666666666667,0.0,-0.10811666666666667,0.10811666666666667
bec_payment,DCHAG_technical_only,dual_approval,0.10148333333333333,0.0,-0.10148333333333333,0.10148333333333333
bec_payment,DCHAG_technical_only,beneficiary_lock,0.10346666666666667,0.0,-0.10346666666666667,0.10346666666666667
bec_payment,DCHAG_technical_only,payment_hold,0.10406666666666667,0.09644,-0.0076266666666666705,0.0076266666666666705
bec_payment,DCHAG_no_human,oob_confirmation,0.10811666666666667,0.0,-0.10811666666666667,0.10811666666666667
bec_payment,DCHAG_no_human,dual_approval,0.10148333333333333,0.07724,-0.024243333333333325,0.024243333333333325
bec_payment,DCHAG_no_human,beneficiary_lock,0.10346666666666667,0.09606,-0.007406666666666659,0.007406666666666659
bec_payment,DCHAG_no_human,payment_hold,0.10406666666666667,0.09784,-0.006226666666666672,0.006226666666666672
bec_payment,DCHAG_no_process,oob_confirmation,0.10811666666666667,0.0,-0.10811666666666667,0.10811666666666667
bec_payment,DCHAG_no_process,dual_approval,0.10148333333333333,0.0,-0.10148333333333333,0.10148333333333333
bec_payment,DCHAG_no_process,beneficiary_lock,0.10346666666666667,0.0,-0.10346666666666667,0.10346666666666667
bec_payment,DCHAG_no_process,payment_hold,0.10406666666666667,0.09972,-0.004346666666666665,0.004346666666666665
bec_payment,DCHAG_no_temporal,oob_confirmation,0.10811666666666667,0.07198,-0.036136666666666664,0.036136666666666664
bec_payment,DCHAG_no_temporal,dual_approval,0.10148333333333333,0.07036,-0.031123333333333322,0.031123333333333322
bec_payment,DCHAG_no_temporal,beneficiary_lock,0.10346666666666667,0.0718,-0.03166666666666666,0.03166666666666666
bec_payment,DCHAG_no_temporal,payment_hold,0.10406666666666667,0.06956,-0.03450666666666667,0.03450666666666667
bec_payment,ObservationalOutcome,oob_confirmation,0.10811666666666667,0.1065087877917916,-0.0016078788748750683,0.0016078788748750683
bec_payment,ObservationalOutcome,dual_approval,0.10148333333333333,0.0906161939895848,-0.010867139343748528,0.010867139343748528
bec_payment,ObservationalOutcome,beneficiary_lock,0.10346666666666667,0.0968219952926995,-0.0066446713739671676,0.0066446713739671676
bec_payment,ObservationalOutcome,payment_hold,0.10406666666666667,0.1053116149314936,0.0012449482648269339,0.0012449482648269339
data_exfiltration,DCHAG_full,separation_of_duties,0.0973,0.0987,0.0013999999999999985,0.0013999999999999985
data_exfiltration,DCHAG_full,dlp_enforcement,0.27673333333333333,0.26924,-0.007493333333333352,0.007493333333333352
data_exfiltration,DCHAG_full,export_confirmation,0.1538,0.14806,-0.005739999999999995,0.005739999999999995
data_exfiltration,DCHAG_full,egress_protection,0.16031666666666666,0.15104,-0.009276666666666655,0.009276666666666655
data_exfiltration,DCHAG_technical_only,separation_of_duties,0.0973,0.0,-0.0973,0.0973
data_exfiltration,DCHAG_technical_only,dlp_enforcement,0.27673333333333333,0.24756,-0.02917333333333333,0.02917333333333333
data_exfiltration,DCHAG_technical_only,export_confirmation,0.1538,0.14244,-0.011359999999999981,0.011359999999999981
data_exfiltration,DCHAG_technical_only,egress_protection,0.16031666666666666,0.14944,-0.010876666666666673,0.010876666666666673
data_exfiltration,DCHAG_no_human,separation_of_duties,0.0973,0.0,-0.0973,0.0973
data_exfiltration,DCHAG_no_human,dlp_enforcement,0.27673333333333333,0.24844,-0.028293333333333337,0.028293333333333337
data_exfiltration,DCHAG_no_human,export_confirmation,0.1538,0.14196,-0.01183999999999999,0.01183999999999999
data_exfiltration,DCHAG_no_human,egress_protection,0.16031666666666666,0.14724,-0.013076666666666653,0.013076666666666653
data_exfiltration,DCHAG_no_process,separation_of_duties,0.0973,0.0,-0.0973,0.0973
data_exfiltration,DCHAG_no_process,dlp_enforcement,0.27673333333333333,0.2469,-0.029833333333333323,0.029833333333333323
data_exfiltration,DCHAG_no_process,export_confirmation,0.1538,0.13974,-0.01405999999999999,0.01405999999999999
data_exfiltration,DCHAG_no_process,egress_protection,0.16031666666666666,0.14588,-0.014436666666666653,0.014436666666666653
data_exfiltration,DCHAG_no_temporal,separation_of_duties,0.0973,0.06964,-0.027660000000000004,0.027660000000000004
data_exfiltration,DCHAG_no_temporal,dlp_enforcement,0.27673333333333333,0.17482,-0.10191333333333333,0.10191333333333333
data_exfiltration,DCHAG_no_temporal,export_confirmation,0.1538,0.10302,-0.05077999999999999,0.05077999999999999
data_exfiltration,DCHAG_no_temporal,egress_protection,0.16031666666666666,0.08724,-0.07307666666666666,0.07307666666666666
data_exfiltration,ObservationalOutcome,separation_of_duties,0.0973,0.0767612690248357,-0.0205387309751643,0.0205387309751643
data_exfiltration,ObservationalOutcome,dlp_enforcement,0.27673333333333333,0.2468250694670711,-0.02990826386626222,0.02990826386626222
data_exfiltration,ObservationalOutcome,export_confirmation,0.1538,0.1347309291461263,-0.019069070853873687,0.019069070853873687
data_exfiltration,ObservationalOutcome,egress_protection,0.16031666666666666,0.1759092443416161,0.015592577674949426,0.015592577674949426
