context,model,kendall_tau,spearman_rho,selected_control,best_true_effect,selected_true_effect,normalized_regret
bec_payment,DCHAG_full,0.6666666666666669,0.7999999999999999,oob_confirmation,0.10811666666666667,0.10811666666666667,0.0
bec_payment,ObservationalOutcome,1.0,1.0,oob_confirmation,0.10811666666666667,0.10811666666666667,0.0
bec_payment,DCHAG_technical_only,0.2357022603955159,0.2581988897471611,payment_hold,0.10811666666666667,0.10406666666666667,0.03745953445352241
bec_payment,DCHAG_no_human,0.0,-0.19999999999999998,payment_hold,0.10811666666666667,0.10406666666666667,0.03745953445352241
bec_payment,DCHAG_no_process,0.2357022603955159,0.2581988897471611,payment_hold,0.10811666666666667,0.10406666666666667,0.03745953445352241
bec_payment,DCHAG_no_temporal,0.3333333333333334,0.39999999999999997,oob_confirmation,0.10811666666666667,0.10811666666666667,0.0
data_exfiltration,DCHAG_full,1.0,1.0,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
data_exfiltration,ObservationalOutcome,1.0,1.0,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
data_exfiltration,DCHAG_technical_only,1.0,1.0,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
data_exfiltration,DCHAG_no_human,1.0,1.0,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
data_exfiltration,DCHAG_no_process,1.0,1.0,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
data_exfiltration,DCHAG_no_temporal,0.6666666666666669,0.7999999999999999,dlp_enforcement,0.27673333333333333,0.27673333333333333,0.0
helpdesk_identity,DCHAG_full,1.0,1.0,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
helpdesk_identity,ObservationalOutcome,1.0,1.0,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
helpdesk_identity,DCHAG_technical_only,0.9128709291752769,0.9486832980505139,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
helpdesk_identity,DCHAG_no_human,0.6666666666666669,0.7999999999999999,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
helpdesk_identity,DCHAG_no_process,0.9128709291752769,0.9486832980505139,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
helpdesk_identity,DCHAG_no_temporal,1.0,1.0,mfa_enforcement,0.2724666666666667,0.2724666666666667,0.0
it_ot_maintenance,DCHAG_full,0.6666666666666669,0.7999999999999999,jump_host_enforcement,0.14775,0.14775,0.0
it_ot_maintenance,ObservationalOutcome,0.3333333333333334,0.6000000000000001,signed_change_package,0.14775,0.14773333333333333,0.00011280315848842526
it_ot_maintenance,DCHAG_technical_only,0.6666666666666669,0.7999999999999999,signed_change_package,0.14775,0.14773333333333333,0.00011280315848842526
it_ot_maintenance,DCHAG_no_human,1.0,1.0,jump_host_enforcement,0.14775,0.14775,0.0
it_ot_maintenance,DCHAG_no_process,0.6666666666666669,0.7999999999999999,signed_change_package,0.14775,0.14773333333333333,0.00011280315848842526
it_ot_maintenance,DCHAG_no_temporal,0.6666666666666669,0.7999999999999999,jump_host_enforcement,0.14775,0.14775,0.0
