context,variant,control,ground_truth,estimate,absolute_error,brier,log_loss,path_precision,path_recall,path_f1
bec_payment,missing_10,oob_confirmation,0.10811666666666667,0.10696,0.001156666666666667,0.2301675592592592,0.6530121666261298,0.9820600792924674,0.9529407057311908,0.9627656637995043
bec_payment,missing_10,dual_approval,0.10148333333333333,0.0977,0.003783333333333333,0.2301675592592592,0.6530121666261298,0.9820600792924674,0.9529407057311908,0.9627656637995043
bec_payment,missing_10,beneficiary_lock,0.10346666666666667,0.10566,0.002193333333333339,0.2301675592592592,0.6530121666261298,0.9820600792924674,0.9529407057311908,0.9627656637995043
bec_payment,missing_10,payment_hold,0.10406666666666667,0.10502,0.0009533333333333338,0.2301675592592592,0.6530121666261298,0.9820600792924674,0.9529407057311908,0.9627656637995043
bec_payment,missing_30,oob_confirmation,0.10811666666666667,0.10798,0.00013666666666665994,0.2294409444444444,0.6514102770242676,0.9027351346427284,0.8427074882015412,0.8542412610738305
bec_payment,missing_30,dual_approval,0.10148333333333333,0.09752,0.003963333333333333,0.2294409444444444,0.6514102770242676,0.9027351346427284,0.8427074882015412,0.8542412610738305
bec_payment,missing_30,beneficiary_lock,0.10346666666666667,0.10184,0.0016266666666666652,0.2294409444444444,0.6514102770242676,0.9027351346427284,0.8427074882015412,0.8542412610738305
bec_payment,missing_30,payment_hold,0.10406666666666667,0.10172,0.0023466666666666636,0.2294409444444444,0.6514102770242676,0.9027351346427284,0.8427074882015412,0.8542412610738305
bec_payment,missing_50,oob_confirmation,0.10811666666666667,0.11474,0.006623333333333328,0.2300479962962963,0.6528100092318943,0.8259515289021235,0.7227316802339675,0.7444264460836506
bec_payment,missing_50,dual_approval,0.10148333333333333,0.10364,0.002156666666666668,0.2300479962962963,0.6528100092318943,0.8259515289021235,0.7227316802339675,0.7444264460836506
bec_payment,missing_50,beneficiary_lock,0.10346666666666667,0.11258,0.009113333333333334,0.2300479962962963,0.6528100092318943,0.8259515289021235,0.7227316802339675,0.7444264460836506
bec_payment,missing_50,payment_hold,0.10406666666666667,0.09706,0.007006666666666675,0.2300479962962963,0.6528100092318943,0.8259515289021235,0.7227316802339675,0.7444264460836506
bec_payment,human_process_unobserved,oob_confirmation,0.10811666666666667,0.0,0.10811666666666667,0.2316360592592592,0.6559987189970601,1.0,0.5295861122713822,0.6395277766225451
bec_payment,human_process_unobserved,dual_approval,0.10148333333333333,0.0,0.10148333333333333,0.2316360592592592,0.6559987189970601,1.0,0.5295861122713822,0.6395277766225451
bec_payment,human_process_unobserved,beneficiary_lock,0.10346666666666667,0.0,0.10346666666666667,0.2316360592592592,0.6559987189970601,1.0,0.5295861122713822,0.6395277766225451
bec_payment,human_process_unobserved,payment_hold,0.10406666666666667,0.0972,0.006866666666666674,0.2316360592592592,0.6559987189970601,1.0,0.5295861122713822,0.6395277766225451
bec_payment,structural_edge_drop,oob_confirmation,0.10811666666666667,0.07352,0.034596666666666664,0.2338640111111111,0.6619205101969572,0.6816102470265325,0.5831945603446061,0.6094206037938884
bec_payment,structural_edge_drop,dual_approval,0.10148333333333333,0.06844,0.03304333333333333,0.2338640111111111,0.6619205101969572,0.6816102470265325,0.5831945603446061,0.6094206037938884
bec_payment,structural_edge_drop,beneficiary_lock,0.10346666666666667,0.07298,0.030486666666666662,0.2338640111111111,0.6619205101969572,0.6816102470265325,0.5831945603446061,0.6094206037938884
bec_payment,structural_edge_drop,payment_hold,0.10406666666666667,0.07364,0.03042666666666667,0.2338640111111111,0.6619205101969572,0.6816102470265325,0.5831945603446061,0.6094206037938884
data_exfiltration,missing_10,separation_of_duties,0.0973,0.09838,0.0010799999999999976,0.1968695814814814,0.579548970136972,0.972958778203932,0.9446247041315456,0.954522447195006
data_exfiltration,missing_10,dlp_enforcement,0.27673333333333333,0.26722,0.009513333333333318,0.1968695814814814,0.579548970136972,0.972958778203932,0.9446247041315456,0.954522447195006
data_exfiltration,missing_10,export_confirmation,0.1538,0.14896,0.004839999999999983,0.1968695814814814,0.579548970136972,0.972958778203932,0.9446247041315456,0.954522447195006
data_exfiltration,missing_10,egress_protection,0.16031666666666666,0.15142,0.008896666666666664,0.1968695814814814,0.579548970136972,0.972958778203932,0.9446247041315456,0.954522447195006
data_exfiltration,missing_30,separation_of_duties,0.0973,0.10158,0.004280000000000006,0.1973024777777777,0.5809324670620435,0.9175868791034127,0.8447336316920127,0.8649632710887979
data_exfiltration,missing_30,dlp_enforcement,0.27673333333333333,0.27688,0.00014666666666668382,0.1973024777777777,0.5809324670620435,0.9175868791034127,0.8447336316920127,0.8649632710887979
data_exfiltration,missing_30,export_confirmation,0.1538,0.1547,0.0009000000000000119,0.1973024777777777,0.5809324670620435,0.9175868791034127,0.8447336316920127,0.8649632710887979
data_exfiltration,missing_30,egress_protection,0.16031666666666666,0.15472,0.0055966666666666665,0.1973024777777777,0.5809324670620435,0.9175868791034127,0.8447336316920127,0.8649632710887979
