model,operation,seconds,ru_maxrss_mb
DCHAG_full,fit,0.26745311700005914,208.828125
DCHAG_technical_only,fit,0.17412170899979174,209.828125
DCHAG_no_human,fit,0.2143920330004221,209.828125
DCHAG_no_process,fit,0.21598734700000932,209.84765625
DCHAG_no_temporal,fit,0.237407701000393,209.8671875
ObservationalOutcome,fit,0.04290114000014,209.8671875
SEAGInspiredRisk,fit,0.04468061899979148,209.8671875
QualitativeRiskMatrix,fit,0.03551413200011666,209.8671875
DCHAG_full,effect:strong_verification,0.0380555789997743,209.8671875
DCHAG_full,effect:mfa_enforcement,0.037200506000317546,209.8671875
DCHAG_full,effect:manager_callback,0.035492889000124705,209.8671875
DCHAG_full,effect:session_risk_block,0.036803380999572255,209.8671875
DCHAG_technical_only,effect:strong_verification,0.02390006700034064,209.8671875
DCHAG_technical_only,effect:mfa_enforcement,0.02367111500007013,209.8671875
DCHAG_technical_only,effect:manager_callback,0.023097789000075863,209.8671875
DCHAG_technical_only,effect:session_risk_block,0.022252270000080898,209.8671875
DCHAG_no_human,effect:strong_verification,0.028979965999951673,209.8671875
DCHAG_no_human,effect:mfa_enforcement,0.039615466999748605,209.8671875
DCHAG_no_human,effect:manager_callback,0.03069347500013464,209.8671875
DCHAG_no_human,effect:session_risk_block,0.029253670000343845,209.8671875
DCHAG_no_process,effect:strong_verification,0.029725423000400042,209.8671875
DCHAG_no_process,effect:mfa_enforcement,0.0283853400001135,209.8671875
DCHAG_no_process,effect:manager_callback,0.03006852099997559,209.8671875
DCHAG_no_process,effect:session_risk_block,0.028981501000089338,209.8671875
DCHAG_no_temporal,effect:strong_verification,0.03496465700027329,209.8671875
DCHAG_no_temporal,effect:mfa_enforcement,0.0356633649998912,209.8671875
DCHAG_no_temporal,effect:manager_callback,0.0421982000002572,209.8671875
DCHAG_no_temporal,effect:session_risk_block,0.035900754000067536,209.8671875
DCHAG_full,risk_prediction,2.64939661399967,398.9921875
DCHAG_technical_only,risk_prediction,2.0061860659998274,398.9921875
DCHAG_no_human,risk_prediction,2.637300041999879,398.9921875
DCHAG_no_process,risk_prediction,2.133127661999879,398.9921875
DCHAG_no_temporal,risk_prediction,2.466954434999934,399.2734375
